지점,위도,경도
12,36.5333,126.3167
96,37.2395,131.8698
116,37.4453,126.964
144,36.0123,126.7834
160,35.1188,129.0
175,34.4721,126.3238
229,36.6254,125.5595
230,37.2645,126.103
296,35.2178,128.9602
300,35.858,126.3151
301,35.0951,126.1164
302,34.6647,126.1593
303,34.0725,125.0972
304,34.318,126.8485
305,33.9862,126.9201
306,34.4319,127.8011
307,34.2437,127.4496
308,34.687,126.073
309,37.9464,126.6866
310,37.3247,129.2647
311,35.7892,128.0867
312,36.3931,129.1413
313,34.8821,128.7413
314,35.8662,127.7431
315,35.3067,127.5108
316,35.1144,126.9974
317,35.7295,127.1142
318,37.6434,128.6705
319,37.5373,130.8708
320,38.331,128.3138
321,38.1147,128.1963
322,38.2316,127.6857
323,38.2727,127.5255
324,36.9102,128.0745
325,37.1445,128.0253
326,37.5455,127.6113
327,36.6261,127.5128
328,33.2494,126.406
329,33.4473,126.5655
330,33.5008,126.6495
350,37.9953,128.4956
376,37.4474,126.859
377,37.3952,126.8919
379,35.5405,127.5463
400,37.4982,127.0817
401,37.4846,127.026
402,37.5555,127.145
403,37.5115,127.0967
404,37.5739,126.8295
405,37.5282,126.8794
406,37.6661,127.0295
407,37.6219,127.0919
408,37.5846,127.0604
409,37.5855,127.0868
410,37.4933,126.9175
411,37.5517,126.9292
412,37.5705,126.9408
413,37.5338,127.0857
414,37.6117,126.9994
415,37.5204,126.9761
416,37.6465,126.9427
417,37.4655,126.9002
418,37.5249,126.939
419,37.5524,126.9874
420,37.616,126.957
421,37.5472,127.0389
422,37.6034,126.9844
423,37.494,126.827
424,37.638,127.0098
425,37.4635,126.9815
426,37.9661,124.6305
427,37.6428,126.6734
428,37.5512,127.2128
433,37.5006,126.7636
434,37.3944,126.9569
437,37.4787,126.8653
438,37.3615,126.9353
441,37.6076,126.7624
444,37.5379,127.2137
445,37.3445,126.9688
446,37.1403,127.0637
450,37.6582,126.8312
493,36.7362,127.0081
494,36.5315,127.2406
495,36.9806,127.1625
496,36.4585,127.2688
497,37.5752,128.8515
498,37.8793,128.5145
499,38.1361,127.0235
500,37.6657,126.4702
501,37.666,125.702
502,37.7894,126.2916
503,37.908,126.7119
504,37.8704,127.1807
505,37.8244,127.3454
506,37.7482,126.7769
507,38.0248,127.1436
508,37.4665,126.3609
509,37.4528,126.9502
510,37.5271,126.9071
511,37.5675,126.6351
512,37.3968,126.6621
513,37.0655,126.0143
514,37.2377,126.5787
515,37.0845,126.7739
516,37.0037,127.2502
517,38.3851,128.4752
518,38.2696,128.1211
519,38.0755,127.5194
520,38.1671,128.5182
521,38.1437,128.6026
522,37.7871,127.9838
523,37.8985,128.8214
524,37.7858,128.9248
525,37.6123,128.3773
526,37.3775,128.3947
527,37.2111,128.6413
528,37.974,124.7124
529,37.1416,129.2859
531,37.8981,127.5522
532,37.7348,127.0735
533,37.3278,127.4807
534,37.121,127.6106
535,37.717,128.1827
536,37.4876,127.9724
537,37.4832,128.8459
538,38.1725,127.103
539,38.0242,127.3657
540,37.6373,126.892
541,37.6341,127.1506
542,37.6841,127.3802
543,37.499,126.5496
544,37.1857,126.6544
545,37.281,126.8385
546,37.4353,127.2592
547,37.4159,127.7549
548,37.2688,127.6396
549,37.2701,127.2218
550,37.1693,127.0527
551,36.9877,127.1088
552,38.2722,127.4245
553,38.4924,128.4281
