,year,month,metro,city,houseCnt,powerUsage,bill
0,2013,05,서울특별시,중구,61652,211.55,26835
1,2013,05,서울특별시,용산구,115636,227.71,32179
2,2013,05,서울특별시,광진구,167472,200.41,24371
3,2013,05,서울특별시,중랑구,172540,213.22,24754
4,2013,05,서울특별시,양천구,177707,243.22,29801
5,2013,05,서울특별시,송파구,249540,236.96,30279
6,2013,05,서울특별시,금천구,108221,199.33,22020
7,2013,05,서울특별시,성동구,126022,228.94,26820
8,2013,05,서울특별시,은평구,200737,221.36,27181
9,2013,05,서울특별시,구로구,178807,219.95,25463
10,2013,05,서울특별시,동대문구,169701,201.63,23552
11,2013,05,서울특별시,성북구,199196,221.3,27842
12,2013,05,서울특별시,도봉구,137271,235.91,27536
13,2013,05,서울특별시,마포구,172352,206.96,24681
14,2013,05,서울특별시,동작구,177734,202.83,24067
15,2013,05,서울특별시,관악구,260231,185.61,20386
16,2013,05,서울특별시,강남구,238588,240.33,33987
17,2013,05,서울특별시,강동구,184658,223.41,26852
18,2013,05,서울특별시,종로구,80270,199.92,27287
19,2013,05,서울특별시,강북구,143113,211.81,24600
20,2013,05,서울특별시,서대문구,139529,212.86,25361
21,2013,05,서울특별시,강서구,228814,216.78,25743
22,2013,05,서울특별시,영등포구,176988,210.71,25086
23,2013,05,서울특별시,노원구,215112,237.5,25891
24,2013,05,서울특별시,서초구,166296,256.98,38340
0,2013,05,부산광역시,서구,58603,193.29,22596
1,2013,05,부산광역시,영도구,62312,215.48,24697
2,2013,05,부산광역시,중구,26928,171.97,19823
3,2013,05,부산광역시,부산진구,180123,218.58,24867
4,2013,05,부산광역시,해운대구,175503,253.34,31333
5,2013,05,부산광역시,수영구,79655,219.82,25931
6,2013,05,부산광역시,사하구,146019,222.98,25110
7,2013,05,부산광역시,사상구,102814,224.35,24552
8,2013,05,부산광역시,남구,132352,224.39,26396
9,2013,05,부산광역시,북구,120315,245.4,26935
10,2013,05,부산광역시,동구,47959,193.57,22331
11,2013,05,부산광역시,동래구,113579,233.85,28284
12,2013,05,부산광역시,금정구,115848,216.54,25832
13,2013,05,부산광역시,강서구,29432,217.86,26927
14,2013,05,부산광역시,연제구,89547,232.92,27511
15,2013,05,부산광역시,기장군,37120,210.68,24621
0,2013,05,대구광역시,북구,185104,226.18,24846
1,2013,05,대구광역시,수성구,182363,243.43,29630
2,2013,05,대구광역시,서구,101718,196.39,21886
3,2013,05,대구광역시,동구,150193,214.04,23888
